license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
C02048E000,"144 UPPER BUKIT TIMAH ROAD, #B1-01 BEAUTY WORLD CENTRE, S(588177)",118,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.34241264188643,103.776539385678,588177
C02050X000,"3 YUAN CHING ROAD, #01 #01-01A/02, S(618642)",119,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.32547408835086,103.725247683743,618642
C02052N000,"5 RIDGEWOOD CLOSE RIDGEWOOD CONDOMINIUM, S(276696)",120,YEO KENG GUAN,ridgewood gourmet,1.3166189803866,103.77894725541,276696
C02053L000,"166 BUKIT BATOK WEST AVENUE 8 #01-256/258, S(650166)",121,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.34715255032968,103.742824825591,650166
C02080E000,"61 TEBAN GARDENS ROAD, #01-21, S(600061)",122,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.3223749703177,103.738412755847,600061
C02104B000,"10 BUKIT BATOK CENTRAL, #01-08, S(659958)",123,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.34903331201636,103.749566478309,659958
C03010C000,"1 MARITIME SQUARE #01-47/48/49/50 HARBOURFRONT CENTRE, S(099253)",124,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.26379682885331,103.820219045593,099253
C79031J000,"21 GHIM MOH ROAD, #01-177, S(270021)",125,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.31010302594118,103.788545950724,270021
SW16942C000,"12 TUAS SOUTH STREET 13, #01-18/19, S(636937)",126,POPULAR SUPERMARKET PTE. LTD.,POPULAR SUPERMARKET,1.27019585421212,103.634479625194,636937
SW16B52K000,"5 JALAN PAPAN, #01-32 ASPRI-WESTLITE PAPAN, S(619396)",127,AJMAL  TRADING GROUP PTE. LTD.,AJMAL TRADING GROUP,1.32213826794398,103.727421300389,619396
SW16B85N000,"69R TUAS SOUTH AVENUE 1, #01-02, S(639926)",128,KAVI TRADERS PTE. LTD.,KAVI MINIMART,1.31337258753746,103.6279253363,639926
SW16D52V000,"810 CHOA CHU KANG AVENUE 7, #01-01 MULTI STOREY CAR PARK, S(680810)",129,U STARS PTE. LTD.,U STARS SUPERMARKET,1.3740546176425,103.746160942106,680810
SW16D83E000,"249 JURONG EAST STREET 24, #01-106, S(600249)",130,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.34256242291848,103.739259690369,600249
SW16E98J000,"500 OLD CHOA CHU KANG ROAD, #01-21, S(698924)",131,PHAN NEE INVESTMENTS (S) PTE LTD,PHANNEE SUPERMART,1.37760471899348,103.718533645365,698924
SW16H70N000,"69 TUAS SOUTH AVENUE 1, #01-02 SEATOWN INDUSTRIAL CENTRE, S(637589)",132,MALAR MARKETING PTE. LTD.,MALAR MARKETING,1.31335809026255,103.627436989653,637589
SW17592A000,"50 JURONG GATEWAY ROAD, #B1-43 JEM, S(608549)",133,SONG FISH DEALER PTE LTD,THE SEAFOOD MARKET PLACE BY SONG FISH,1.33320021829132,103.743170428258,608549
SW17728C000,"817 KEAT HONG LINK, #01-14 MULTI STOREY CAR PARK, S(680817)",134,U STARS PTE. LTD.,U STARS MEGAMART,1.37754385007462,103.749700036701,680817
SW17E56V000,"1 FUSIONOPOLIS WAY, #B2-03 CONNEXIS, S(138632)",135,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.29951528532019,103.787639846851,138632
SW18581V000,"180 DEPOT ROAD, #01-04 INTERLACE, THE, S(109684)",136,THE QUALITYMART DEPOT PTE. LTD.,THE QUALITYMART DEPOT,1.28198401796351,103.803052971713,109684
SW18715E000,"13 YUK TONG AVENUE CHUN TIN COURT, S(596318)",137,SEOUL BUTCHERY PTE. LTD.,SEOUL BUTCHERY,1.34207496392367,103.774632794309,596318
SW18A30L000,"440 BUKIT BATOK WEST AVENUE 8, #01-10 MULTI STOREY CAR PARK, S(650440)",138,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.35572308109486,103.739303105372,650440
SW18A40J000,"35 STUDENTS WALK NTU CANTEEN 2, S(639548)",139,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT EXPRESS,1.34842266576961,103.685434201207,639548
